Notificar;ConocimientoTecnologia;ConocimientoSeguridadPrivacidad;ConocimientoEdificiosInteligentes;Edad;Genero;Trabaja;ModalidadTrabajo
"... siempre.";"Muy fuerte";"Muy fuerte";"Muy fuerte";"Entre 18 y 24 años";"Femenino";"Sí";"Remoto"
"... a veces.";"Fuerte";"Moderado";"Moderado";"Entre 18 y 24 años";"Femenino";"Sí";"Remoto"
"... siempre.";"Débil";"Muy débil";"Muy débil";"Entre 18 y 24 años";"Femenino";"Sí";"Remoto"
"... siempre.";"Moderado";"Moderado";"Moderado";"Entre 45 años y 54 años";"Femenino";"Sí";"Híbrido"
"... siempre.";"Débil";"Débil";"Débil";"Entre 45 años y 54 años";"Masculino";"No";""
"... siempre.";"Débil";"Débil";"Débil";"Entre 45 años y 54 años";"Femenino";"Sí";"Híbrido"
"... siempre.";"Moderado";"Moderado";"Moderado";"Entre 25 años y 34 años";"Femenino";"Sí";"Presencial"
"... a veces.";"Moderado";"Fuerte";"Fuerte";"Entre 25 años y 34 años";"Masculino";"Sí";"Presencial"
"... siempre.";"Fuerte";"Moderado";"Moderado";"Entre 25 años y 34 años";"Masculino";"Sí";"Remoto"
"... siempre.";"Débil";"Débil";"Débil";"Más de 54 años";"Femenino";"Sí";"Híbrido"
"... a veces.";"Débil";"Débil";"Muy débil";"Más de 54 años";"Femenino";"No";""
"... siempre.";"Moderado";"Débil";"Débil";"Entre 18 y 24 años";"Femenino";"Sí";"Híbrido"
"... siempre.";"Moderado";"Moderado";"Moderado";"Entre 25 años y 34 años";"Masculino";"Sí";"Híbrido"
"... siempre.";"Débil";"Muy débil";"Muy débil";"Entre 25 años y 34 años";"Masculino";"Sí";"Híbrido"
"... siempre.";"Moderado";"Moderado";"Moderado";"Entre 25 años y 34 años";"Masculino";"Sí";"Presencial"
"... siempre.";"Moderado";"Moderado";"Moderado";"Entre 45 años y 54 años";"Femenino";"Sí";"Híbrido"
"... siempre.";"Fuerte";"Moderado";"Fuerte";"Entre 25 años y 34 años";"Masculino";"Sí";"Remoto"
"... la primera vez.";"Moderado";"Moderado";"Débil";"Entre 25 años y 34 años";"Masculino";"Sí";"Híbrido"
"... siempre.";"Fuerte";"Moderado";"Débil";"Entre 18 y 24 años";"Masculino";"Sí";"Remoto"
"... siempre.";"Moderado";"Débil";"Muy débil";"Entre 25 años y 34 años";"Femenino";"Sí";"Híbrido"
"... a veces.";"Moderado";"Débil";"Muy débil";"Entre 18 y 24 años";"Masculino";"No";""
"... siempre.";"Moderado";"Débil";"Muy débil";"Entre 35 años y 44 años";"Femenino";"Sí";"Remoto"
"... siempre.";"Moderado";"Débil";"Débil";"Entre 35 años y 44 años";"Femenino";"Sí";"Presencial"
"... siempre.";"Muy débil";"Muy débil";"Muy débil";"Más de 54 años";"Femenino";"Sí";"Híbrido"
