Notificar;ConocimientoTecnologia;ConocimientoSeguridadPrivacidad;ConocimientoEdificiosInteligentes;Edad;Genero;Trabaja;ModalidadTrabajo
"... alwaands.";"Weak";"Weak";"Weak";"Between 45 years old and 54 years old";"Male";"No";""
"... alwaands.";"Weak";"Weak";"Weak";"Between 45 years old and 54 years old";"Female";"Yes";"Hybrid"
"... alwaands.";"Moderate";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Female";"Yes";"On-site"
"... once in a while.";"Moderate";"Strong";"Strong";"Between 25 years old and 34 years old";"Male";"Yes";"On-site"
"... alwaands.";"Strong";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Male";"Yes";"Remote"
"... alwaands.";"Weak";"Weak";"Weak";"More than 54 years old";"Female";"Yes";"Hybrid"
"... once in a while.";"Weak";"Weak";"Very weak";"More than 54 years old";"Female";"No";""
"... alwaands.";"Moderate";"Weak";"Weak";"Between 18 and 24 years old";"Female";"Yes";"Hybrid"
"... alwaands.";"Moderate";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Weak";"Very weak";"Very weak";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Moderate";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Male";"Yes";"On-site"
"... alwaands.";"Moderate";"Moderate";"Moderate";"Between 45 years old and 54 years old";"Female";"Yes";"Hybrid"
"... alwaands.";"Strong";"Moderate";"Strong";"Between 25 years old and 34 years old";"Male";"Yes";"Remote"
"... the first time.";"Moderate";"Moderate";"Weak";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Strong";"Moderate";"Weak";"Between 18 and 24 years old";"Male";"Yes";"Remote"
"... alwaands.";"Moderate";"Weak";"Very weak";"Between 25 years old and 34 years old";"Female";"Yes";"Hybrid"
"... once in a while.";"Moderate";"Weak";"Very weak";"Between 18 and 24 years old";"Male";"No";""
"... alwaands.";"Moderate";"Weak";"Very weak";"Between 35 years old and 44 years old";"Female";"Yes";"Remote"
"... alwaands.";"Moderate";"Weak";"Weak";"Between 35 years old and 44 years old";"Female";"Yes";"On-site"
"... alwaands.";"Very weak";"Very weak";"Very weak";"More than 54 years old";"Female";"Yes";"Hybrid"
